Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2015-01-02,24.192602157592773,24.65950423811587,23.754465939878138,24.648439535677543,212818400
2015-01-05,23.511056900024414,24.042130522942855,23.32518206053304,23.962469395093265,257142000
2015-01-06,23.513269424438477,23.7721672375332,23.15258108261458,23.575227702283048,263188400
2015-01-07,23.842973709106445,23.94254925811913,23.61062851042855,23.721268759658745,160423600
2015-01-08,24.75908851623535,24.81662195032648,24.053202795933068,24.170482943028826,237458000
2015-01-09,24.78563117980957,25.060018548160507,24.38732557394823,24.93167544313448,214798000
2015-01-12,24.174896240234375,24.922823772441756,24.075320683875773,24.91618562711603,198603200
2015-01-13,24.389545440673828,24.960449733893075,24.099668425353194,24.657294735965763,268367600
2015-01-14,24.296607971191406,24.449290420951467,24.00894254649171,24.12843426037142,195826400
2015-01-15,23.637187957763672,24.35413645717828,23.60178394813456,24.34086016459694,240056000
2015-01-16,23.45353126525879,23.80536831130288,23.278719381634467,23.683663301109657,314053200
2015-01-20,24.057621002197266,24.11294113817059,23.566377924636292,23.862893043099756,199599600
2015-01-21,24.24128532409668,24.57541774452879,23.95804479734744,24.108515641336837,194303600
2015-01-22,24.87193489074707,24.88742446217416,24.278902931738003,24.39839463484841,215185600
2015-01-23,25.000276565551758,25.17066184134601,24.67941876430255,24.849805728333372,185859200
2015-01-26,25.026826858520508,25.30564079070656,24.960443714443343,25.168446258435488,222460000
2015-01-27,24.150558471679688,24.889636367580913,24.12621747674591,24.876358386921034,382274800
2015-01-28,25.5158634185791,26.13766300317951,25.5158634185791,26.02923430226332,585908400
2015-01-29,26.31025505065918,26.374426606206118,25.571177211115504,25.73935088467864,337745600
2015-01-30,25.92522621154785,26.553662070188867,25.856628103199135,26.19961358023362,334982000
2015-02-02,26.25050926208496,26.370000953586086,25.686244910716674,26.12216783483101,250956400
2015-02-03,26.25493812561035,26.35230042157659,26.0248061463723,26.221745704792397,207662800
2015-02-04,26.456302642822266,26.666520183230848,26.179701948787283,26.221745794516334,280598800
2015-02-05,26.645130157470703,26.709554969732874,26.49184347674695,26.662901175243686,168984800
2015-02-06,26.420757293701172,26.714000306189355,26.314122700569396,26.662904175232608,174826400
2015-02-09,26.596254348754883,26.622911721163728,26.309675731066406,26.33633479837431,155559200
2015-02-10,27.10721206665039,27.13609315192371,26.694007464418103,26.696227782593457,248034000
2015-02-11,27.742572784423828,27.75145914200605,27.213847220027088,27.273828015082834,294247200
2015-02-12,28.093576431274414,28.320174313577628,27.895859634991865,28.004714549879026,297898000
2015-02-13,28.2313232421875,28.27575335244814,27.91364303861373,28.27575335244814,217088800
2015-02-17,28.397932052612305,28.631194314145105,28.19577119996392,28.32239884896467,252609600
2015-02-18,28.59564971923828,28.608978410609364,28.313513322619073,28.353501091632044,179566800
2015-02-19,28.535667419433594,28.664517086594802,28.509010036503504,28.542331765166118,149449600
2015-02-20,28.7689208984375,28.7689208984375,28.44679852386642,28.573424443890232,195793600
2015-02-23,29.54646110534668,29.54646110534668,28.804468083621224,28.884443602656212,283896400
2015-02-24,29.362075805664062,29.679757593961313,29.139921941606865,29.533135230131812,276912400
2015-02-25,28.61119270324707,29.235447865976322,28.469014375568225,29.226559813734614,298846800
2015-02-26,28.973308563232422,29.07327713106697,28.126902824541162,28.61119665484146,365150000
2015-02-27,28.537891387939453,29.00663625092877,28.489017258922594,28.880006901257964,248059200
2015-03-02,28.677841186523438,28.942204824251785,28.502341127333437,28.713386617938777,192386800
2015-03-03,28.737823486328125,28.773368917506,28.45568713477693,28.648963298182327,151265200
2015-03-04,28.555654525756836,28.78225240299768,28.506783797135036,28.680063529790168,126665200
2015-03-05,28.082469940185547,28.602309153184912,27.93806959383036,28.564543404185695,226068400
2015-03-06,28.12468147277832,28.740046987832674,28.049149965508676,28.52455744842278,291368400
2015-03-09,28.24464988708496,28.784485687496055,27.7825693163388,28.426816037777208,354114000
2015-03-10,27.66037368774414,28.262410360171007,27.502644672745152,28.082466301280466,275426400
2015-03-11,27.156084060668945,27.71813298675404,27.12720467255403,27.71369065585145,275756000
2015-03-12,27.647043228149414,27.74701346773055,27.020569500724587,27.17163417162344,193450800
2015-03-13,27.455989837646484,27.858089404925604,27.231615699468243,27.635935584623006,207309200
2015-03-16,27.758127212524414,27.758127212524414,27.296048420518424,27.520422623715213,143497200
2015-03-17,28.222427368164062,28.284630179522154,27.91363362970817,27.969172096263538,204092400
2015-03-18,28.540111541748047,28.693398273706446,28.073588695017833,28.213545040566977,261083600
2015-03-19,28.324615478515625,28.713384710573685,28.302400432806465,28.602307787128524,183238000
2015-03-20,27.969175338745117,28.524558373785165,27.80478193325487,28.491236645908533,274780400
2015-03-23,28.260194778442383,28.40237312558268,28.106908059378792,28.240201742859963,150838800
2015-03-24,28.14468002319336,28.444585774451372,28.115798929518245,28.264643340636482,131369200
2015-03-25,27.409343719482422,28.17355357044147,27.409343719482422,28.11135075836797,206620800
2015-03-26,27.60039520263672,27.74257353801557,27.23606300636597,27.27160843766041,190291600
2015-03-27,27.38046646118164,27.702588918059213,27.304934953461245,27.673709523030762,158184800
2015-03-30,28.073583602905273,28.080247947451227,27.547078350082643,27.558186720925512,188398800
2015-03-31,27.64260482788086,28.100241236455535,27.62705412549918,28.011379353603317,168362400
2015-04-01,27.602609634399414,27.795884050453814,27.34713242556401,27.729237232531887,162485600
2015-04-02,27.840322494506836,27.893638947918962,27.58928923541274,27.77589766980492,128880400
2015-04-06,28.291292190551758,28.326837619766778,27.620388315662122,27.651489718775586,148776000
2015-04-07,27.993610382080078,28.462353501011048,27.986946036985735,28.35572058970243,140049200
2015-04-08,27.90252113342285,28.08024487808575,27.762564828557807,27.9580595917676,149316800
2015-04-09,28.115800857543945,28.120244885290955,27.69370974617701,27.958071770524725,129936000
2015-04-10,28.235761642456055,28.260198708165728,27.826999261312125,27.980284306791184,160752000
2015-04-13,28.180217742919922,28.562324360961306,28.1269012893116,28.51789087563862,145460400
2015-04-14,28.058040618896484,28.277972523909053,27.971400726167293,28.21354768407711,102098400
2015-04-15,28.164670944213867,28.24242446960834,27.99361318834602,28.082475086611023,115881600
2015-04-16,28.02915382385254,28.235756994085587,28.0158251338051,28.05359088553921,113476000
2015-04-17,27.713695526123047,28.022489272545602,27.649270699868765,27.891419301645175,207828000
2015-04-20,28.346834182739258,28.46235345227572,27.80700019732746,27.8958620865322,188217200
2015-04-21,28.19355010986328,28.48012712747022,28.140231957606513,28.457913773045995,129740400
2015-04-22,28.573429107666016,28.628967574063935,28.062476233744846,28.211318916915396,150618000
2015-04-23,28.80668830871582,28.973303690350882,28.46679320136418,28.50233862966466,183083600
2015-04-24,28.942203521728516,29.019958725725385,28.70894129953666,28.98885732208639,178103600
2015-04-27,29.46870994567871,29.575346245548285,29.135479135634252,29.393178442287084,387816800
2015-04-28,29.004411697387695,29.888583241459457,28.784481513019248,29.8708139130615,475696000
2015-04-29,28.577878952026367,29.23323231097932,28.50234743590019,28.915553845613523,253544400
2015-04-30,27.802555084228516,28.577871557806247,27.675927455621842,28.577871557806247,332781600
2015-05-01,28.646743774414062,28.90888713039242,27.835883422298416,28.01360551944855,234050400
2015-05-04,28.591205596923828,29.006635685468652,28.493457340795633,28.768929390811504,203953200
2015-05-05,27.94695281982422,28.535659120311355,27.942508794028523,28.46901229256979,197085600
2015-05-06,27.771453857421875,28.15800109012273,27.4048996580972,28.115791315351583,288564000
2015-05-07,27.943233489990234,28.126160542069265,27.66661076578918,27.83392215617779,175763600
2015-05-08,28.46969985961914,28.46969985961914,28.132845865882516,28.260002423494758,222201600
2015-05-11,28.17969512939453,28.456316106647098,28.025768130626794,28.41839260613247,168143200
2015-05-12,28.079315185546875,28.304626645579297,27.84507854462574,28.019082128405064,192640000
2015-05-13,28.110538482666016,28.373775078379587,28.079307166393143,28.14176979893889,138776800
2015-05-14,28.76639747619629,28.76639747619629,28.367082551285613,28.422853001376712,180814000
2015-05-15,28.726247787475586,28.886866975073346,28.601322509112556,28.793173016301076,152832000
2015-05-18,29.04301643371582,29.161249500528275,28.634776382587688,28.639238971134677,203531600
2015-05-19,29.016252517700195,29.196948238276978,28.920325569814313,29.154562149952394,178532800
2015-05-20,29.014028549194336,29.219263468770283,28.8534093244898,29.00064418112885,145819600
2015-05-21,29.310720443725586,29.364261306407442,28.96271334618968,29.016254208871537,158921600
2015-05-22,29.567270278930664,29.663197255447688,29.312957077037073,29.357576175301336,182384000
2015-05-26,28.915861129760742,29.64980214028677,28.804320232449268,29.58064732858694,282790400
2015-05-27,29.455730438232422,29.504808724983548,29.011799668019176,29.076491916576888,183332800
2015-05-28,29.39771842956543,29.43564192592671,29.246024444120316,29.415565381492744,122933200
2015-05-29,29.063098907470703,29.32410422543376,28.978326727566014,29.275025953274035,203538000
2015-06-01,29.121103286743164,29.310724221383353,29.01179535845598,29.063103230998106,128451200
2015-06-02,28.991716384887695,29.147872986498268,28.848944148563945,28.96940684010392,134670400
2015-06-03,29.027400970458984,29.210329669290964,28.978322705111765,29.147867041386856,123934000
2015-06-04,28.857864379882812,29.13002447267988,28.757478241644847,28.906942652613985,153800400
2015-06-05,28.69947624206543,28.93148325289006,28.634784008714654,28.88909716029949,142507200
2015-06-08,28.509855270385742,28.824401431399306,28.293465647897676,28.75524321274129,210699200
2015-06-09,28.42508316040039,28.57231796852488,28.02353693293006,28.26446398862062,224301600
2015-06-10,28.750789642333984,28.85340538613573,28.521013909368506,28.536629570640002,156349200
2015-06-11,28.68609046936035,29.04078974685961,28.661551332957096,28.817707926451256,141563600
